"","ist","country_code","district_name","year","district_population","live_births","surviving_infants","under5pop","under15pop","cba_women","pregnant_women"
"65","CA","ANG","BALOMBO",2017,117887.31172595,4385,4102,20607,55313,26843,4385
"66","CA","ANG","BALOMBO",2018,117887.31172595,4385,4102,20607,55313,26843,4385
"67","CA","ANG","BALOMBO",2019,124202,4347,4072,14547,57311,29109,4347
"68","CA","ANG","BALOMBO",2020,127501,4412,4164,19199,58090,30118,4412
"69","CA","ANG","BALOMBO",2021,130848,4475,2639,19700,58778,31192,4475
"70","CA","ANG","BALOMBO",2022,134248,4538,4289,20159,59377,32335,4538
"71","CA","ANG","BALOMBO",2023,137706,4613,4359,20572,59892,33549,4613
"72","CA","ANG","BALOMBO",2024,141226,4689,4434,20939,60324,59215,4689
"73","CA","ANG","BANGA",2017,11261.07513982,419,392,1968,5284,2564,419
"74","CA","ANG","BANGA",2018,11261.07513982,419,392,1968,5284,2564,419
"75","CA","ANG","BANGA",2019,11912,466,433,1523,5679,2546,466
"76","CA","ANG","BANGA",2020,12254,474,444,2021,5797,2635,474
"77","CA","ANG","BANGA",2021,12603,484,1104,2080,5908,2731,484
"78","CA","ANG","BANGA",2022,12960,494,462,2136,6013,2834,494
"79","CA","ANG","BANGA",2023,13326,504,472,2189,6111,2944,504
"80","CA","ANG","BANGA",2024,13701,515,483,2239,6203,6082,515
"81","CA","ANG","BELAS",2017,1194185.90588147,44424,41558,208744,560312,271916,44424
"82","CA","ANG","BELAS",2018,1194185.90588147,44424,41558,208744,560312,271916,44424
"83","CA","ANG","BELAS",2019,392241,14395,13556,48567,164969,100089,14395
"84","CA","ANG","BELAS",2020,405361,14512,13849,64199,169696,103459,14512
"85","CA","ANG","BELAS",2021,418557,14608,6079,65958,174248,106905,14608
"86","CA","ANG","BELAS",2022,431815,14725,14089,67397,178604,110421,14725
"87","CA","ANG","BELAS",2023,445118,14822,14188,68498,182742,113999,14822
"88","CA","ANG","BELAS",2024,458451,14900,14272,69238,186637,183069,14900
"89","CA","ANG","BELIZE",2017,21290.35752463,792,741,3722,9989,4848,792
"90","CA","ANG","BELIZE",2018,21290.35752463,792,741,3722,9989,4848,792
"91","CA","ANG","BELIZE",2019,22514,799,751,2700,9658,5570,799
"92","CA","ANG","BELIZE",2020,23148,803,764,3552,9871,5740,803
"93","CA","ANG","BELIZE",2021,23787,809,2336,3636,10070,5917,809
"94","CA","ANG","BELIZE",2022,24430,814,774,3703,10255,6099,814
"95","CA","ANG","BELIZE",2023,25075,817,778,3753,10422,6286,817
"96","CA","ANG","BELIZE",2024,25724,821,782,3786,10571,10375,821
"97","CA","ANG","BEMBE",2017,35893.77614765,1335,1249,6274,16841,8173,1335
"98","CA","ANG","BEMBE",2018,35893.77614765,1335,1249,6274,16841,8173,1335
"99","CA","ANG","BEMBE",2019,38015,1418,1333,4758,18788,7950,1418
"100","CA","ANG","BEMBE",2020,39140,1452,1374,6312,19151,8263,1452
"101","CA","ANG","BEMBE",2021,40296,1491,3573,6519,19487,8601,1491
"102","CA","ANG","BEMBE",2022,41491,1531,1449,6725,19800,8967,1531
"103","CA","ANG","BEMBE",2023,42725,1577,1491,6931,20090,9363,1577
"104","CA","ANG","BEMBE",2024,44002,1624,1538,7136,20356,19972,1624
"105","CA","ANG","BENGUELA",2017,607774.26324825,22609,21151,106239,285168,138390,22609
"106","CA","ANG","BENGUELA",2018,607774.26324825,22609,21151,106239,285168,138390,22609
"107","CA","ANG","BENGUELA",2019,640372,22413,20992,75001,295487,150081,22413
"108","CA","ANG","BENGUELA",2020,657391,22746,21467,98989,299509,155285,22746
"109","CA","ANG","BENGUELA",2021,674659,23073,2925,101575,303060,160829,23073
"110","CA","ANG","BENGUELA",2022,692202,23396,22112,103941,306155,166724,23396
"111","CA","ANG","BENGUELA",2023,710041,23786,22474,106075,308817,172985,23786
"112","CA","ANG","BENGUELA",2024,728199,24176,22861,107967,311046,305330,24176
"113","CA","ANG","BIBALA",2017,71605.19343432,2664,2492,12517,33597,16305,2664
"114","CA","ANG","BIBALA",2018,71605.19343432,2664,2492,12517,33597,16305,2664
"115","CA","ANG","BIBALA",2019,76612,3034,2843,9997,35713,18168,3034
"116","CA","ANG","BIBALA",2020,79249,3099,2929,13344,36651,18895,3099
"117","CA","ANG","BIBALA",2021,81944,3171,1289,13804,37569,19652,3171
"118","CA","ANG","BIBALA",2022,84695,3235,3058,14230,38464,20440,3235
"119","CA","ANG","BIBALA",2023,87504,3299,3124,14619,39337,21258,3299
"120","CA","ANG","BIBALA",2024,90371,3371,3191,14967,40187,39390,3371
